step,t_ms,side,kind,peak_dp_pa,source
45,55054.3,unaffected,normal,7395.0,SYNTHETIC_MOCK
46,56287.5,affected,normal,10671.5,SYNTHETIC_MOCK
47,57508.9,unaffected,normal,4313.6,SYNTHETIC_MOCK
48,58659.9,affected,normal,6476.6,SYNTHETIC_MOCK
49,59872.5,unaffected,panic_plant,12795.4,SYNTHETIC_MOCK
50,60938.5,affected,normal,5695.1,SYNTHETIC_MOCK
51,62280.0,unaffected,normal,6932.2,SYNTHETIC_MOCK
52,63440.0,affected,normal,8238.3,SYNTHETIC_MOCK
53,64582.0,unaffected,normal,5784.0,SYNTHETIC_MOCK
54,65849.1,affected,normal,5965.1,SYNTHETIC_MOCK
55,67079.9,unaffected,normal,8173.8,SYNTHETIC_MOCK
56,68227.5,affected,normal,6948.6,SYNTHETIC_MOCK
57,69329.4,unaffected,normal,6426.7,SYNTHETIC_MOCK
58,70655.8,affected,normal,7217.5,SYNTHETIC_MOCK
59,71878.6,unaffected,normal,6850.5,SYNTHETIC_MOCK
60,73045.8,affected,normal,7276.4,SYNTHETIC_MOCK
61,74368.6,unaffected,normal,7540.2,SYNTHETIC_MOCK
62,75459.2,affected,normal,5457.2,SYNTHETIC_MOCK
63,76644.8,unaffected,normal,9171.8,SYNTHETIC_MOCK
64,77756.2,affected,normal,8841.4,SYNTHETIC_MOCK
65,78924.7,unaffected,normal,7810.6,SYNTHETIC_MOCK
66,80151.7,affected,normal,6794.1,SYNTHETIC_MOCK
67,81403.2,unaffected,normal,7114.1,SYNTHETIC_MOCK
68,82535.7,affected,normal,6938.6,SYNTHETIC_MOCK
69,83709.0,unaffected,normal,5893.5,SYNTHETIC_MOCK
70,84911.5,affected,normal,5328.7,SYNTHETIC_MOCK
71,86072.7,unaffected,normal,7615.5,SYNTHETIC_MOCK
72,87315.8,affected,normal,8263.5,SYNTHETIC_MOCK
73,88460.1,unaffected,normal,6805.3,SYNTHETIC_MOCK
74,89674.2,affected,panic_plant,12103.7,SYNTHETIC_MOCK
75,90892.5,unaffected,hesitation,3213.3,SYNTHETIC_MOCK
76,92024.2,affected,normal,9364.8,SYNTHETIC_MOCK
77,93177.0,unaffected,normal,5156.1,SYNTHETIC_MOCK
78,94318.6,affected,panic_plant,12912.9,SYNTHETIC_MOCK
79,95505.6,unaffected,normal,4294.4,SYNTHETIC_MOCK
80,96635.5,affected,normal,6332.9,SYNTHETIC_MOCK
81,97718.1,unaffected,normal,4785.3,SYNTHETIC_MOCK
82,98830.4,affected,normal,5377.8,SYNTHETIC_MOCK
83,99936.6,unaffected,normal,10660.4,SYNTHETIC_MOCK
84,101274.9,affected,normal,7430.4,SYNTHETIC_MOCK
85,102537.1,unaffected,normal,6690.9,SYNTHETIC_MOCK
86,103726.4,affected,normal,6526.0,SYNTHETIC_MOCK
87,104905.1,unaffected,hesitation,2983.3,SYNTHETIC_MOCK
88,106142.8,affected,normal,6300.3,SYNTHETIC_MOCK
89,107371.0,unaffected,normal,7195.8,SYNTHETIC_MOCK
90,108513.3,affected,normal,7000.1,SYNTHETIC_MOCK
91,109880.7,unaffected,panic_plant,11818.3,SYNTHETIC_MOCK
92,111019.7,affected,normal,7486.2,SYNTHETIC_MOCK
93,112130.7,unaffected,normal,7329.1,SYNTHETIC_MOCK
94,113369.1,affected,normal,7331.1,SYNTHETIC_MOCK
95,114605.4,unaffected,hesitation,3799.2,SYNTHETIC_MOCK
96,115826.5,affected,normal,6405.9,SYNTHETIC_MOCK
97,117018.3,unaffected,normal,6631.9,SYNTHETIC_MOCK
98,118336.0,affected,normal,7192.2,SYNTHETIC_MOCK
99,119550.1,unaffected,normal,6701.6,SYNTHETIC_MOCK
100,120609.6,affected,normal,6531.4,SYNTHETIC_MOCK
101,121686.8,unaffected,normal,9176.5,SYNTHETIC_MOCK
102,122881.9,affected,normal,6586.1,SYNTHETIC_MOCK
103,124185.9,unaffected,normal,6578.6,SYNTHETIC_MOCK
104,125480.1,affected,normal,9182.7,SYNTHETIC_MOCK
105,126715.3,unaffected,normal,9197.4,SYNTHETIC_MOCK
106,127920.6,affected,normal,6626.3,SYNTHETIC_MOCK
107,129026.3,unaffected,normal,8246.9,SYNTHETIC_MOCK
108,130320.0,affected,normal,6759.8,SYNTHETIC_MOCK
109,131578.5,unaffected,hesitation,4424.5,SYNTHETIC_MOCK
110,132684.7,affected,normal,6915.6,SYNTHETIC_MOCK
111,133935.7,unaffected,normal,8904.1,SYNTHETIC_MOCK
112,135138.3,affected,normal,5722.7,SYNTHETIC_MOCK
113,136363.3,unaffected,normal,6154.4,SYNTHETIC_MOCK
114,137380.0,affected,normal,7767.0,SYNTHETIC_MOCK
115,138613.1,unaffected,normal,7090.8,SYNTHETIC_MOCK
116,139765.8,affected,normal,4400.3,SYNTHETIC_MOCK
117,141083.9,unaffected,hesitation,2042.9,SYNTHETIC_MOCK
118,142238.2,affected,normal,8066.7,SYNTHETIC_MOCK
119,143456.9,unaffected,normal,8346.3,SYNTHETIC_MOCK
